industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170515,(direct),(none),(not set),(not set),desktop,2003,16174,175,1400845.0,31,385,20,524,19,5
bankingFinance,Renins,renins.com,20170515,(direct),(none),(not set),(not set),mobile,1076,2336,273,270889.0,52,3,0,24,1,0
bankingFinance,Renins,renins.com,20170515,(direct),(none),(not set),(not set),tablet,119,467,40,43594.0,2,5,4,3,0,0
bankingFinance,Renins,renins.com,20170515,73-ульяновск.рф,referral,(not set),(not set),mobile,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,1234567890,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,13130,desktop,2,8,0,1636.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,185373,desktop,16,36,0,1457.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,194949,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,194949,tablet,1,4,0,192.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,205380,desktop,3,24,0,3998.0,0,0,0,1,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,25491,desktop,1,2,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,25491,tablet,2,3,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,272961,desktop,15,36,0,445.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170515,AdMitad,cpa,Nectarin,272961,mobile,1,7,0,171.0,0,0,0,0,0,0
