industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170626,(direct),(none),(not set),(not set),desktop,2095,15502,274,1332517.0,14,332,17,431,14,5
bankingFinance,Renins,renins.com,20170626,(direct),(none),(not set),(not set),mobile,884,5538,223,288588.0,26,6,0,80,0,0
bankingFinance,Renins,renins.com,20170626,(direct),(none),(not set),(not set),tablet,97,388,44,39365.0,0,3,1,4,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,13130,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,185373,desktop,3,2,0,90.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,205380,desktop,2,7,0,453.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,25491,desktop,1,4,0,428.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,332719,mobile,1,2,0,210.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,51433,desktop,23,96,0,2882.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,51433,tablet,2,4,0,4.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,579126,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,75752,desktop,1,11,0,432.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,90289,desktop,3,14,0,804.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,AdMitad,cpa,Nectarin,94653,desktop,2,5,0,27.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,13,222,3,15229.0,0,5,0,5,0,0
bankingFinance,Renins,renins.com,20170626,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),tablet,1,2,0,176.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Banki.ru,static,NS_broker_mskspbekb,(not set),desktop,1,3,0,6.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,CPA,cpc,nectarin,mail2,desktop,4,36,0,14304.0,0,1,0,1,0,0
bankingFinance,Renins,renins.com,20170626,E-mail_Base-Accident,(not set),SummerDigest,(not set),desktop,3,16,0,818.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Facebook.com_Calculation,smm,Cover,(not set),desktop,2,4,0,18420.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,41,150,7,6734.0,1,4,3,1,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,23,110,2,2602.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,tablet,2,3,1,64.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,desktop,14,62,4,2843.0,2,4,0,1,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,mobile,3,43,0,2124.0,0,3,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,property_broker_mskspbekb,NYP,desktop,1,2,0,5.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,desktop,1,3,0,76.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,tablet,1,4,0,200.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170626,Inguru.ru_In.card,link,GeneralPage,(not set),desktop,2,8,1,418.0,0,0,0,0,0,0
