industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170212,(direct),(none),(not set),(not set),desktop,781,5058,66,389825.0,20,145,11,2,304,308
bankingFinance,Renins,renins.com,20170212,(direct),(none),(not set),(not set),mobile,669,1460,192,138383.0,51,0,1,266,278,207
bankingFinance,Renins,renins.com,20170212,(direct),(none),(not set),(not set),tablet,115,313,23,42348.0,20,4,1,39,53,45
bankingFinance,Renins,renins.com,20170212,Autoreview_bns,cpc,KaskoOsago__ekb,price_cut,mobile,2,2,0,0.0,0,0,0,2,2,0
bankingFinance,Renins,renins.com,20170212,Banki.ru_RKS,button,kasko,(not set),desktop,7,60,1,2720.0,0,2,1,0,3,3
bankingFinance,Renins,renins.com,20170212,CPA,cpc,nectarin,mail2,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,E-mail_Base-Accident,(not set),SummerDigest,(not set),desktop,4,10,0,83.0,0,0,0,0,1,0
bankingFinance,Renins,renins.com,20170212,Gismeteo.ru_Partners,banner,LowPrice,728x90,mobile,1,1,0,1263.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Glavbuh,static,kasko__mskspbekb,offroad,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,desktop,1,6,0,180.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,mobile,2,2,0,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,13,45,1,2900.0,2,1,0,0,8,8
bankingFinance,Renins,renins.com,20170212,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,25,36,1,6687.0,8,0,0,21,19,18
bankingFinance,Renins,renins.com,20170212,Inguru.ru,cpa,licenses_broker_mskspbekb,NYP,desktop,1,12,0,1381.0,0,1,0,0,1,1
bankingFinance,Renins,renins.com,20170212,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,mobile,1,3,0,46.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Inguru.ru_Address,TGB,NYP,1,desktop,4,21,1,953.0,2,0,0,0,2,2
bankingFinance,Renins,renins.com,20170212,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,desktop,9,33,0,1341.0,8,1,0,0,4,0
bankingFinance,Renins,renins.com,20170212,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,mobile,1,1,0,147.0,0,0,0,1,1,0
bankingFinance,Renins,renins.com,20170212,MaximOnline,static,kasko__mskspbekb,probeg,desktop,1,3,0,8.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170212,MobailApp,free,TravelApp,(not set),mobile,3,13,0,466.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Moneymatika.ru_All,TGB,NYP,Text,mobile,3,4,0,287.0,2,0,0,3,3,3
bankingFinance,Renins,renins.com,20170212,RI_mail,cpc,PDD_letter,property_act,tablet,1,7,0,818.0,0,0,1,0,1,1
bankingFinance,Renins,renins.com,20170212,RI_mail,rassylka,NY2017_letter_rf,travel_deact,desktop,2,115,0,15571.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,RI_mail,rassylka,kasko_lostcart_feb_rf,base_kasko,desktop,1,20,0,310.0,1,1,0,0,1,1
bankingFinance,Renins,renins.com,20170212,RI_mail,rassylka,real_discount_letter_rf,avto_deact,mobile,2,2,0,213.0,1,0,0,2,2,1
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,house_footer_msk_spb,icon,desktop,1,7,0,123.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,kasko_bu_msk_spb,promopage,desktop,3,26,0,900.0,0,0,2,0,3,2
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,kasko_bu_msk_spb,promopage,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,kasko_economatika_calc_msk_spb,promopage,desktop,6,30,0,696.0,3,0,0,0,1,3
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,kasko_vnedorojniki_msk_spb,promopage,desktop,1,4,0,24.0,0,0,0,0,1,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,logo_header_msk_spb,logo,desktop,5,57,0,3659.0,0,1,1,0,2,2
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,logo_header_msk_spb,logo,mobile,2,2,2,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,logo_header_msk_spb,logo,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,property_footer_msk_spb,icon,desktop,5,25,0,414.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,travel_footer_msk_spb,icon,desktop,18,33,0,1087.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,travel_footer_msk_spb,icon,mobile,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Renins.ru,cpc,travel_footer_msk_spb,icon,tablet,1,6,0,97.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170212,Revizorro,cpq,kasko__spbekb,probeg,mobile,2,2,0,0.0,0,0,0,0,2,0
bankingFinance,Renins,renins.com,20170212,Revizorro.ru_All,TGB,NYP,985х125,desktop,14,49,0,3718.0,1,0,0,1,2,3
bankingFinance,Renins,renins.com,20170212,Revizorro.ru_All,TGB,NYP,985х125,mobile,1,1,0,0.0,0,0,0,1,1,0
bankingFinance,Renins,renins.com,20170212,Revizorro.ru_OSAGO,banner,OSAGO,984х124,desktop,13,104,0,4462.0,0,4,0,0,12,10
bankingFinance,Renins,renins.com,20170212,Revizorro.ru_OSAGO,banner,OSAGO,984х124,mobile,16,28,1,6601.0,0,0,0,14,13,13
