industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170531,(direct),(none),(not set),(not set),desktop,1808,11650,176,762249.0,88,258,19,351,12,6
bankingFinance,Renins,renins.com,20170531,(direct),(none),(not set),(not set),mobile,829,6041,202,240517.0,34,17,0,25,0,0
bankingFinance,Renins,renins.com,20170531,(direct),(none),(not set),(not set),tablet,107,366,42,23097.0,0,2,1,7,1,0
bankingFinance,Renins,renins.com,20170531,4geo.ru,referral,(not set),(not set),desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,1234567890,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,185373,desktop,7,25,0,1264.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,205380,desktop,15,61,1,2843.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,25491,desktop,1,4,0,9.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,310555,desktop,6,0,0,51908.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,310555,mobile,1,7,0,161.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,332719,desktop,6,21,0,122.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,332719,mobile,1,2,0,4.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,391884,desktop,2,4,0,5.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,496156,mobile,1,6,0,265.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,51433,desktop,56,231,0,23881.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,51433,mobile,1,2,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,51433,tablet,1,9,0,316.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170531,AdMitad,cpa,Nectarin,530513,desktop,1,2,0,12.0,0,0,0,0,0,0
