industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170722,(direct),(none),(not set),(not set),desktop,848,3198,41,160731.0,4,21,4,5,7,32
bankingFinance,Renins,renins.com,20170722,(direct),(none),(not set),(not set),mobile,313,1759,13,61313.0,14,0,0,0,2,0
bankingFinance,Renins,renins.com,20170722,(direct),(none),(not set),(not set),tablet,41,127,7,8759.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,1234567890,desktop,2,2,2,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,185373,desktop,6,36,0,3867.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,185373,mobile,5,23,0,2067.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,194949,desktop,1,2,0,5.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,205380,desktop,2,5,0,78.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,25491,desktop,4,6,0,29.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,496156,mobile,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,51433,desktop,5,22,0,539.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,75752,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,90289,desktop,12,57,1,4060.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,90289,mobile,3,11,0,632.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,AdMitad,cpa,Nectarin,94653,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,7,44,0,1298.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),tablet,2,4,0,21.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,CPA,cpc,nectarin,mail2,desktop,14,40,0,51577.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,CPA,cpc,nectarin,mail2,mobile,1,3,0,90.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Info-letter_basetravel,links,generalpage,-go-to-site,desktop,2,3,0,4.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,desktop,1,8,0,365.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,21,102,0,1635.0,1,2,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,23,139,1,3625.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,tablet,2,2,2,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,desktop,12,72,0,2504.0,1,0,0,1,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,mobile,2,7,0,46.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,tablet,1,10,0,301.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,licenses_broker_mskspbekb,NYP,desktop,1,5,0,56.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,property_broker_mskspbekb,NYP,desktop,1,3,0,11.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,mobile,1,10,0,287.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Meduza,cpc,travel_putevoditel_world,ads,mobile,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,MobailApp,free,TravelApp,(not set),mobile,7,16,0,254.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170722,Moneymatika.ru,cpa,kasko_broker_msk,(not set),desktop,1,2,0,9.0,0,0,0,0,0,0
