industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170130,(direct),(none),(not set),(not set),desktop,1090,6760,175,546155.0,36,101,26,7,422,312
bankingFinance,Renins,renins.com,20170130,(direct),(none),(not set),(not set),mobile,842,1845,203,218024.0,59,0,2,340,359,267
bankingFinance,Renins,renins.com,20170130,(direct),(none),(not set),(not set),tablet,117,369,25,34637.0,8,3,0,31,52,38
bankingFinance,Renins,renins.com,20170130,192.168.1.53:8080,referral,(not set),(not set),desktop,1,6,0,39.0,1,0,0,0,1,1
bankingFinance,Renins,renins.com,20170130,194.190.22.84,referral,(not set),(not set),desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170130,AdvertFocus,cpq,kasko__mskspbekb,Economatics_SUV_Usedcars,mobile,2,2,0,639.0,0,0,0,2,2,0
bankingFinance,Renins,renins.com,20170130,Banki.ru_House,button,(not set),(not set),desktop,9,20,1,261.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170130,Banki.ru_Property,button,(not set),(not set),desktop,6,11,1,478.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170130,Banki.ru_RKS,button,Property,(not set),desktop,1,2,0,6.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170130,Banki.ru_RKS,button,kasko,(not set),desktop,16,127,1,9419.0,0,5,0,0,11,9
bankingFinance,Renins,renins.com,20170130,Banki.ru_RKS,button,kasko,(not set),mobile,3,2,0,1032.0,0,0,0,2,2,2
bankingFinance,Renins,renins.com,20170130,Banki.ru_RKS,button,kasko,(not set),tablet,1,3,0,479.0,0,0,0,1,1,1
bankingFinance,Renins,renins.com,20170130,CPA,cpc,nectarin,mail2,desktop,1,5,0,541.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170130,Glavbuh,static,kasko__mskspbekb,offroad,desktop,1,16,0,264.0,1,0,0,0,1,1
