industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170925,(direct),(none),(not set),(not set),desktop,928,4127,47,282724.0,63,23,65,51,16,7
bankingFinance,Renins,renins.com,20170925,(direct),(none),(not set),(not set),mobile,416,1743,14,98274.0,11,10,9,4,0,2
bankingFinance,Renins,renins.com,20170925,(direct),(none),(not set),(not set),tablet,49,175,2,8272.0,4,1,0,0,1,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,1234567890,desktop,2,4,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,185373,desktop,1,5,0,360.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,205380,desktop,2,9,0,309.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,310555,mobile,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,332719,mobile,2,3,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,391884,desktop,1,12,0,831.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,51433,desktop,11,48,0,2496.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,51433,mobile,2,12,0,183.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,51433,tablet,3,21,0,729.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,58534,desktop,3,11,0,681.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,90289,desktop,5,28,1,2062.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,90289,mobile,1,6,0,351.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,AdMitad,cpa,Nectarin,94653,desktop,3,13,0,404.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170925,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,10,52,0,1010.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170925,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),mobile,5,23,1,201.0,0,0,0,0,0,0
