industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170109,(direct),(none),(not set),(not set),desktop,1769,14638,135,1267813.0,33,232,32,1,965,618
bankingFinance,Renins,renins.com,20170109,(direct),(none),(not set),(not set),mobile,986,1974,240,242823.0,28,1,1,460,468,340
bankingFinance,Renins,renins.com,20170109,(direct),(none),(not set),(not set),tablet,141,483,28,60356.0,8,1,1,54,73,54
bankingFinance,Renins,renins.com,20170109,192.168.1.53:8080,referral,(not set),(not set),desktop,2,17,0,431.0,1,0,0,0,2,2
bankingFinance,Renins,renins.com,20170109,194.190.22.84,referral,(not set),(not set),desktop,4,27,0,3475.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170109,61-rostov.ru,referral,(not set),(not set),desktop,1,6,0,110.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,72-тюмень.рф,referral,(not set),(not set),desktop,1,2,0,12.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Banki.ru_House,button,(not set),(not set),desktop,5,35,0,918.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Banki.ru_House,button,(not set),(not set),tablet,1,1,0,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Banki.ru_Property,button,(not set),(not set),desktop,6,23,0,823.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Banki.ru_Property,button,(not set),(not set),mobile,2,5,0,222.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Banki.ru_RKS,button,Accident,(not set),desktop,1,48,0,5120.0,0,1,0,0,1,1
bankingFinance,Renins,renins.com,20170109,Banki.ru_RKS,button,Property,(not set),desktop,1,13,0,640.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170109,Banki.ru_RKS,button,Property,(not set),mobile,1,1,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Banki.ru_RKS,button,kasko,(not set),desktop,25,223,0,19962.0,1,7,0,0,14,12
bankingFinance,Renins,renins.com,20170109,Banki.ru_RKS,button,kasko,(not set),mobile,3,6,0,999.0,0,0,0,3,3,3
bankingFinance,Renins,renins.com,20170109,Banki.ru_RKS,button,kasko,(not set),tablet,2,12,0,637.0,0,1,0,0,2,2
bankingFinance,Renins,renins.com,20170109,E-mail_Base-Accident,(not set),SummerDigest,(not set),desktop,1,29,0,688.0,1,1,1,0,1,1
bankingFinance,Renins,renins.com,20170109,E-mail_Base-NewTravel,(not set),SummerDigest,(not set),desktop,3,4,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Facebook.com,Retargeting,Kasko_social,(not set),desktop,1,20,0,474.0,0,0,1,0,1,1
bankingFinance,Renins,renins.com,20170109,Gd,static,kasko__mskspbekb,letter,desktop,1,2,0,3.0,0,0,0,0,1,0
bankingFinance,Renins,renins.com,20170109,Glavbuh,static,kasko__mskspbekb,offroad,desktop,4,15,0,1487.0,1,0,0,0,3,4
bankingFinance,Renins,renins.com,20170109,Glavbuh,static,kasko__mskspbekb,probeg,desktop,2,5,0,15.0,0,0,0,0,2,1
bankingFinance,Renins,renins.com,20170109,InGuru_MSKSPB,banner,AstronomicalKasko-Cars,240x400,mobile,1,3,0,1191.0,0,0,0,1,1,1
bankingFinance,Renins,renins.com,20170109,Info-letter_15-14,links,kasko-cart,-go-to-calculator,mobile,1,1,0,102.0,1,0,0,1,1,1
bankingFinance,Renins,renins.com,20170109,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,desktop,1,3,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru,cpa,house_broker_mskspbekb,NYP,desktop,1,3,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,10,25,3,1294.0,0,0,0,0,6,4
bankingFinance,Renins,renins.com,20170109,Inguru.ru,cpa,licenses_broker_mskspbekb,NYP,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru,cpa,property_broker_mskspbekb,NYP,desktop,1,2,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,desktop,2,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Address,TGB,NYP,1,desktop,16,57,2,2177.0,0,1,0,0,10,6
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Address,TGB,NYP,1,tablet,2,2,0,19.0,0,0,0,2,2,2
bankingFinance,Renins,renins.com,20170109,Inguru.ru_CalcAuto,TGB,NYP,1,desktop,2,6,0,89.0,0,0,0,0,2,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru_CalcAuto,TGB,NYP,1,mobile,1,1,0,12.0,0,0,0,0,1,1
bankingFinance,Renins,renins.com,20170109,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,desktop,18,219,3,10112.0,10,1,0,3,10,2
bankingFinance,Renins,renins.com,20170109,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,mobile,5,17,0,1626.0,2,0,0,3,4,2
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Promopage,button,House,go-to-calculator,desktop,1,5,0,50.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Promopage,button,NC,go-to-calculator,desktop,1,5,0,11.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Promopage,button,NC,go-to-calculator,mobile,1,1,0,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Promopage,button,NYP,go-to-calculator,desktop,18,63,3,7392.0,1,2,1,0,8,6
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Promopage,button,NYP,go-to-calculator,mobile,15,19,0,4948.0,7,0,0,14,14,12
bankingFinance,Renins,renins.com,20170109,Inguru.ru_Promopage,button,NYP,go-to-calculator,tablet,3,8,0,628.0,3,0,0,2,3,3
