industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170518,(direct),(none),(not set),(not set),desktop,1457,9720,166,871001.0,30,193,26,357,36,11
bankingFinance,Renins,renins.com,20170518,(direct),(none),(not set),(not set),mobile,953,2075,270,209773.0,31,1,3,21,2,1
bankingFinance,Renins,renins.com,20170518,(direct),(none),(not set),(not set),tablet,98,331,41,29155.0,1,3,1,2,3,0
bankingFinance,Renins,renins.com,20170518,192.168.1.104,referral,(not set),(not set),desktop,3,13,0,391.0,0,0,0,1,0,0
bankingFinance,Renins,renins.com,20170518,192.168.3.1:10080,referral,(not set),(not set),desktop,1,7,0,1201.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,89.188.109.154,referral,(not set),(not set),desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,1234567890,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,13130,desktop,2,3,1,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,185373,desktop,2,10,0,762.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,185373,mobile,2,10,0,2834.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,205380,desktop,2,5,0,13.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,25491,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,25491,mobile,1,4,0,13.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,272961,desktop,1,4,0,195.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,310555,desktop,3,5,0,6157.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170518,AdMitad,cpa,Nectarin,310555,mobile,1,7,0,112.0,0,0,0,0,0,0
