industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170521,(direct),(none),(not set),(not set),desktop,416,2201,73,181113.0,9,35,10,66,1,3
bankingFinance,Renins,renins.com,20170521,(direct),(none),(not set),(not set),mobile,432,914,125,72587.0,28,4,0,6,1,0
bankingFinance,Renins,renins.com,20170521,(direct),(none),(not set),(not set),tablet,62,208,27,14287.0,1,0,0,2,0,1
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,1234567890,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,185373,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,25491,desktop,6,6,0,1466.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,268633,desktop,1,5,0,160.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,272961,desktop,1,4,0,137.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,310555,desktop,4,0,0,67539.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,332719,desktop,5,14,1,36.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,496156,desktop,1,0,0,11132.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,496156,mobile,1,1,0,29.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,51433,desktop,11,15,1,505.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,51433,mobile,4,38,0,2632.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,90289,desktop,4,6,3,57.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,AdMitad,cpa,Nectarin,94653,desktop,7,1,0,242.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,3,67,0,3906.0,0,2,0,3,0,0
bankingFinance,Renins,renins.com,20170521,Banki.ru,static,VZR_broker_mskspbekb,(not set),desktop,1,5,0,460.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,CPA,cpc,nectarin,mail2,desktop,22,17,0,4105.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,15,80,1,1530.0,0,0,2,0,0,0
bankingFinance,Renins,renins.com,20170521,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,15,27,0,5293.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,mobile,2,2,0,18.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,desktop,1,3,0,20.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Inguru.ru_In.card,link,GeneralPage,(not set),desktop,1,9,0,76.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Meduza,cpc,travel_putevoditel_app_world,banner,desktop,1,8,0,630.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Meduza,cpc,travel_putevoditel_world,ads,desktop,1,7,0,428.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Meduza,cpc,travel_putevoditel_world,ads,mobile,2,11,0,497.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,MobailApp,free,TravelApp,(not set),mobile,2,5,0,236.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Moneymatika.ru,cpa,kasko_broker_msk,even_better,mobile,3,3,0,1196.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,RI_mail,cpc,check_list_letter_rf,travel_unact,desktop,4,10,1,59.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,RI_mail,cpc,check_list_letter_rf,travel_unact,tablet,1,6,0,166.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_ekb,BANK,desktop,1,6,0,93.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_ekb,BANK,mobile,2,5,0,112.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_ekb,CARS,desktop,7,23,1,1238.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_ekb,CARS,mobile,10,10,0,790.0,4,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_ekb,CARS,tablet,2,8,0,305.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_msk,BANK,desktop,1,6,0,269.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_msk,BANK,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_msk,CARS,mobile,3,4,0,609.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru,cpa,kasko_broker_spb,CARS,desktop,1,3,0,41.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru_OSAGO,banner,OSAGO,984х124,desktop,11,33,2,618.0,0,2,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru_OSAGO,banner,OSAGO,984х124,mobile,15,19,0,2014.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru_OSAGO,banner,OSAGO,984х124,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Revizorro.ru_OSAGOCalc,Set,OSAGO,1,mobile,1,3,0,318.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sendsay,email,new_year_travel_letter_rf,auto_act,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravni.ru,cpa,kasko_broker_msk,(not set),desktop,1,4,0,53.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravni.ru,cpa,kasko_broker_msk,(not set),mobile,1,6,0,585.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravni.ru,cpa,osago_broker_msk,(not set),desktop,41,306,3,19347.0,0,11,0,5,0,0
bankingFinance,Renins,renins.com,20170521,Sravni.ru,cpa,osago_broker_msk,(not set),mobile,7,8,0,2670.0,0,0,0,1,0,0
bankingFinance,Renins,renins.com,20170521,Sravni.ru,cpa,osago_broker_msk,(not set),tablet,3,19,1,3421.0,0,1,0,2,0,0
bankingFinance,Renins,renins.com,20170521,Sravnikupi.ru,cpa,osago_broker_msk,(not set),desktop,1,3,0,12.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravnikupi.ru,cpa,osago_broker_msk,(not set),mobile,2,3,1,327.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravnikupi.ru_OSAGO,banner,OSAGO,540x125,desktop,3,15,2,790.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravnikupi.ru_all,banner,NYP-Dark,240х500,desktop,1,3,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravnikupi.ru_all,banner,NYP-Dark,240х500,tablet,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,Sravnikupi.ru_all,banner,NYP-Dark,540х125,desktop,4,19,0,384.0,0,2,0,0,0,0
bankingFinance,Renins,renins.com,20170521,adguard.com,referral,(not set),(not set),desktop,2,5,1,326.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,admitad,cpa,kasko_network_msk_spb_ekb,141251,desktop,2,5,0,68.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,admitad,cpa,kasko_network_msk_spb_ekb,205759,desktop,1,6,0,76.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,admitad,cpa,kasko_network_msk_spb_ekb_cpo,1234567890,desktop,1,3,0,5.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,advertfocus,cpq,kasko__rf,even_better,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,advertfocus,cpq,kasko__rf,even_better,mobile,2,3,0,549.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,affiliatecatalog.ru,referral,(not set),(not set),desktop,3,18,1,588.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170521,arkhangelsk.big-book-avto.ru,referral,(not set),(not set),desktop,1,13,0,1079.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170521,asn-news.ru,referral,(not set),(not set),desktop,2,8,0,60.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,autoins.ru,referral,(not set),(not set),desktop,43,293,4,18466.0,0,9,0,7,0,0
bankingFinance,Renins,renins.com,20170521,autoins.ru,referral,(not set),(not set),mobile,6,10,4,1023.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170521,autoins.ru,referral,(not set),(not set),tablet,3,3,3,0.0,0,0,0,0,0,0
