industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170918,(direct),(none),(not set),(not set),desktop,904,4336,21,246062.0,96,21,16,63,15,1
bankingFinance,Renins,renins.com,20170918,(direct),(none),(not set),(not set),mobile,392,1787,6,76912.0,11,11,9,7,1,0
bankingFinance,Renins,renins.com,20170918,(direct),(none),(not set),(not set),tablet,34,145,1,10624.0,1,0,1,2,1,1
bankingFinance,Renins,renins.com,20170918,1s-ins.ru,referral,(not set),(not set),desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,1234567890,desktop,2,4,0,7.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,13130,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,185373,desktop,8,57,0,5314.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,205380,desktop,2,3,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,221044,desktop,1,10,0,355.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,310555,desktop,1,2,0,587.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,332719,desktop,1,9,0,958.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,391884,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,391884,tablet,1,13,0,131.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170918,AdMitad,cpa,Nectarin,51433,desktop,13,51,0,1029.0,0,0,0,0,0,0
