industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20171012,(direct),(none),(not set),(not set),desktop,827,3491,36,212770.0,34,35,16,80,15,13
bankingFinance,Renins,renins.com,20171012,(direct),(none),(not set),(not set),mobile,411,1672,12,84556.0,12,10,8,8,1,1
bankingFinance,Renins,renins.com,20171012,(direct),(none),(not set),(not set),tablet,53,156,7,10938.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,1s-ins.ru,referral,(not set),(not set),desktop,1,2,0,44.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,185373,desktop,5,58,0,2325.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,185373,tablet,1,6,0,726.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,194949,desktop,2,38,0,6770.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,205380,desktop,3,7,0,247.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,25491,desktop,5,15,0,220.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,310555,desktop,4,20,0,986.0,0,0,0,1,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,570282,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,58534,mobile,1,4,0,194.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,75752,desktop,1,8,0,413.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,90289,desktop,12,47,0,2081.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,AdMitad,cpa,Nectarin,94653,desktop,2,6,1,77.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,11,56,0,1295.0,0,3,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),mobile,6,138,0,4311.0,0,2,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),tablet,1,11,0,76.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Facebook.com_Calculation,smm,Cover,(not set),mobile,1,4,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Info-letter_baseauto,button,digestсommonblock,-go-to-calculator,desktop,1,3,0,10.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,desktop,1,6,0,112.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,accident_broker_mskspbekb,NYP,mobile,1,1,0,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,50,188,0,6473.0,2,1,12,2,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,55,349,0,14549.0,4,3,2,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,tablet,6,16,1,216.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,desktop,3,23,0,345.0,2,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,property_broker_mskspbekb,NYP,desktop,1,12,0,77.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20171012,Inguru.ru,cpa,property_broker_mskspbekb,NYP,mobile,2,2,0,24.0,0,0,0,0,0,0
