industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170924,(direct),(none),(not set),(not set),desktop,487,1481,13,82846.0,33,7,60,8,3,4
bankingFinance,Renins,renins.com,20170924,(direct),(none),(not set),(not set),mobile,283,1220,4,51315.0,7,10,10,1,0,0
bankingFinance,Renins,renins.com,20170924,(direct),(none),(not set),(not set),tablet,36,163,1,12117.0,3,0,0,2,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,115464,desktop,1,3,0,122.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,1234567890,desktop,2,4,0,3.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,185373,desktop,2,4,0,1147.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,185373,mobile,1,4,0,370.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,205380,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,278564,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,310555,desktop,2,0,0,25534.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,332719,desktop,1,4,0,14.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,51433,desktop,6,34,0,4416.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,51433,tablet,1,4,0,106.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,58534,mobile,1,5,0,16.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,75752,desktop,2,7,0,34.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,90289,desktop,4,26,0,1832.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,93279,desktop,1,19,0,1062.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,AdMitad,cpa,Nectarin,94653,desktop,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170924,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,9,38,0,377.0,0,0,0,0,0,0
