industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170327,(direct),(none),(not set),(not set),desktop,1722,11894,190,923345.0,41,307,38,391,12,8
bankingFinance,Renins,renins.com,20170327,(direct),(none),(not set),(not set),mobile,1043,2422,295,246097.0,73,7,1,17,2,0
bankingFinance,Renins,renins.com,20170327,(direct),(none),(not set),(not set),tablet,163,728,34,72221.0,13,13,4,14,1,2
bankingFinance,Renins,renins.com,20170327,192.168.1.53:8080,referral,(not set),(not set),desktop,4,24,0,781.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,6,52,0,4455.0,0,3,0,1,0,0
bankingFinance,Renins,renins.com,20170327,Banki.ru,static,VZR_broker_mskspbekb,(not set),desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,CPA,cpc,nectarin,mail2,desktop,18,41,0,3501.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,CPA,cpc,nectarin,mail2,mobile,5,10,0,515.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Exist_bns,cpc,KaskoOsago__mskspbekb,molodaya,mobile,1,1,0,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Facebook.com_Calculation,smm,Cover,(not set),desktop,1,6,0,959.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru,cpc,even_better_spec_rf,calc,mobile,1,1,0,7.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru,cpc,even_better_spec_rf,tell_me_more,desktop,1,1,1,0.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,desktop,44,187,4,7396.0,6,1,4,0,1,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,mobile,26,31,0,3810.0,4,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,kasko_broker_mskspbekb,NYP,tablet,4,6,1,618.0,2,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,kasko_broker_mskspbekb,even_better,desktop,1,12,0,141.0,1,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,property_broker_mskspbekb,NYP,desktop,1,3,0,127.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,property_broker_mskspbekb,NYP,mobile,1,1,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru,cpa,travel_broker_mskspbekb,NYP,desktop,2,19,0,772.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru_In.card,link,GeneralPage,(not set),desktop,1,14,0,911.0,0,1,0,1,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru_In.card,link,GeneralPage,(not set),mobile,2,12,0,347.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,desktop,14,119,0,9587.0,4,3,0,1,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,mobile,1,1,0,56.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Inguru.ru_MSKSPB,TGB,KaskoAuto,930x100,tablet,2,1,0,10.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170327,Meduza,cpc,even_better_spec_rf,calc,desktop,106,544,9,20667.0,12,8,12,0,0,0
bankingFinance,Renins,renins.com,20170327,Meduza,cpc,even_better_spec_rf,calc,mobile,35,46,0,4873.0,6,0,0,0,0,0
