industry,client,site,date,utm_source,utm_medium,utm_campaign,utm_content,device_category,visits,pageviews,bounces,session_duration,goal_quotation_kasko,goal_quotation_osago,goal_quotation_kaskoOsago,goal_request_osago,goal_request_kasko,goal_request_kaskoOsago
bankingFinance,Renins,renins.com,20170730,(direct),(none),(not set),(not set),desktop,288,1228,15,70323.0,10,5,9,2,0,1
bankingFinance,Renins,renins.com,20170730,(direct),(none),(not set),(not set),mobile,258,1186,11,67844.0,6,0,0,2,0,0
bankingFinance,Renins,renins.com,20170730,(direct),(none),(not set),(not set),tablet,31,99,4,5284.0,0,0,3,0,0,0
bankingFinance,Renins,renins.com,20170730,1-clinic.ru,referral,(not set),(not set),mobile,1,6,0,104.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,1234567890,desktop,2,4,0,4.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,162876,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,185373,desktop,1,5,0,160.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,185373,mobile,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,194949,desktop,4,8,0,7716.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,205380,desktop,1,12,0,76.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,310555,desktop,1,3,0,228.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,310555,mobile,3,16,0,2044.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,310555,tablet,1,3,0,141.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,332719,mobile,1,2,0,1.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,510110,desktop,1,7,0,131.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,51433,desktop,21,74,0,2366.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,51433,mobile,6,30,0,1980.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,51433,tablet,2,6,0,103.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,530513,tablet,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,585633,desktop,1,2,0,2.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,90289,desktop,10,49,0,2455.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,90289,mobile,3,41,0,4993.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,90289,tablet,1,9,0,397.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,AdMitad,cpa,Nectarin,94653,desktop,7,11,0,65.0,0,0,0,0,0,0
bankingFinance,Renins,renins.com,20170730,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),desktop,8,61,0,1582.0,0,1,0,0,0,0
bankingFinance,Renins,renins.com,20170730,Banki.ru,static,KaskoOsago_broker_mskspbekb,(not set),mobile,2,16,0,223.0,0,0,0,0,0,0
